Work on GPU:  0,1
load_weight 304
Namespace(dataset='rafdb', checkpoint=None, batch_size=120, val_batch_size=32, modeltype='base', optimizer='adam', lr=4e-05, momentum=0.9, workers=2, epochs=250, gpu='0,1', head_type='simple')
Train set size: 12271
Validation set size: 3068
GFLOPs: 14.62
GMacs: 7.31
Params: 61.03M
batch_size: 120
Total Parameters: 61.033M
[Epoch 1] Train time:2.48, Training accuracy:0.6584. Loss: 3.754 LR:0.000040
[Epoch 1] Validation accuracy:0.8347, Loss:0.536, f1 0.694637, score 0.740858
best_acc:0.8347
[Epoch 2] Train time:2.44, Training accuracy:0.8056. Loss: 2.883 LR:0.000039
[Epoch 2] Validation accuracy:0.8719, Loss:0.447, f1 0.787531, score 0.815373
best_acc:0.8719
[Epoch 3] Train time:2.49, Training accuracy:0.8474. Loss: 2.636 LR:0.000038
[Epoch 3] Validation accuracy:0.8895, Loss:0.418, f1 0.808268, score 0.835075
best_acc:0.8895
[Epoch 4] Train time:2.49, Training accuracy:0.8781. Loss: 2.472 LR:0.000038
[Epoch 4] Validation accuracy:0.9120, Loss:0.371, f1 0.854288, score 0.873333
Model saved.
best_acc:0.912
[Epoch 5] Train time:2.43, Training accuracy:0.9051. Loss: 2.311 LR:0.000037
[Epoch 5] Validation accuracy:0.9065, Loss:0.372, f1 0.835117, score 0.858673
[Epoch 6] Train time:2.42, Training accuracy:0.9212. Loss: 2.217 LR:0.000036
[Epoch 6] Validation accuracy:0.9140, Loss:0.362, f1 0.854444, score 0.874097
Model saved.
best_acc:0.914
[Epoch 7] Train time:2.40, Training accuracy:0.9424. Loss: 2.102 LR:0.000035
[Epoch 7] Validation accuracy:0.9071, Loss:0.360, f1 0.847102, score 0.866901
[Epoch 8] Train time:2.41, Training accuracy:0.9486. Loss: 2.059 LR:0.000035
[Epoch 8] Validation accuracy:0.9074, Loss:0.363, f1 0.850972, score 0.869593
[Epoch 9] Train time:2.40, Training accuracy:0.9576. Loss: 1.991 LR:0.000034
[Epoch 9] Validation accuracy:0.9025, Loss:0.366, f1 0.847170, score 0.865429
[Epoch 10] Train time:2.40, Training accuracy:0.9610. Loss: 1.969 LR:0.000033
[Epoch 10] Validation accuracy:0.9130, Loss:0.342, f1 0.862921, score 0.879447
[Epoch 11] Train time:2.40, Training accuracy:0.9707. Loss: 1.909 LR:0.000033
[Epoch 11] Validation accuracy:0.9120, Loss:0.340, f1 0.855227, score 0.873962
[Epoch 12] Train time:2.40, Training accuracy:0.9708. Loss: 1.903 LR:0.000032
[Epoch 12] Validation accuracy:0.9188, Loss:0.345, f1 0.865523, score 0.883104
Model saved.
best_acc:0.9188
[Epoch 13] Train time:2.40, Training accuracy:0.9712. Loss: 1.900 LR:0.000031
[Epoch 13] Validation accuracy:0.9117, Loss:0.346, f1 0.854078, score 0.873093
[Epoch 14] Train time:2.40, Training accuracy:0.9746. Loss: 1.876 LR:0.000031
[Epoch 14] Validation accuracy:0.9162, Loss:0.347, f1 0.863959, score 0.881199
[Epoch 15] Train time:2.40, Training accuracy:0.9772. Loss: 1.866 LR:0.000030
[Epoch 15] Validation accuracy:0.9188, Loss:0.337, f1 0.870516, score 0.886450
[Epoch 16] Train time:2.40, Training accuracy:0.9764. Loss: 1.865 LR:0.000030
[Epoch 16] Validation accuracy:0.9156, Loss:0.345, f1 0.864652, score 0.881465
[Epoch 17] Train time:2.40, Training accuracy:0.9777. Loss: 1.847 LR:0.000029
[Epoch 17] Validation accuracy:0.9140, Loss:0.341, f1 0.866482, score 0.882163
[Epoch 18] Train time:2.40, Training accuracy:0.9798. Loss: 1.837 LR:0.000028
[Epoch 18] Validation accuracy:0.9162, Loss:0.339, f1 0.864963, score 0.881871
[Epoch 19] Train time:2.40, Training accuracy:0.9781. Loss: 1.850 LR:0.000028
