Work on GPU:  0,1
load_weight 304
Train set size: 12271
Validation set size: 3068
batch_size: 120
Total Parameters: 51.353M
[Epoch 1] Train time:2.12, Training accuracy:0.6476. Loss: 3.922 LR:0.000040
[Epoch 1] Validation accuracy:0.8543, Loss:0.569, f1 0.743850, score 0.780298
best_acc:0.8543
[Epoch 2] Train time:2.15, Training accuracy:0.7941. Loss: 3.080 LR:0.000039
[Epoch 2] Validation accuracy:0.8729, Loss:0.456, f1 0.803473, score 0.826384
best_acc:0.8729
[Epoch 3] Train time:2.11, Training accuracy:0.8355. Loss: 2.831 LR:0.000038
[Epoch 3] Validation accuracy:0.8771, Loss:0.460, f1 0.811087, score 0.832871
best_acc:0.8771
[Epoch 4] Train time:2.11, Training accuracy:0.8629. Loss: 2.661 LR:0.000038
[Epoch 4] Validation accuracy:0.8960, Loss:0.413, f1 0.830461, score 0.852089
best_acc:0.896
[Epoch 5] Train time:2.11, Training accuracy:0.8831. Loss: 2.538 LR:0.000037
[Epoch 5] Validation accuracy:0.8931, Loss:0.398, f1 0.826927, score 0.848764
[Epoch 6] Train time:2.11, Training accuracy:0.9002. Loss: 2.447 LR:0.000036
[Epoch 6] Validation accuracy:0.8941, Loss:0.388, f1 0.831547, score 0.852190
[Epoch 7] Train time:2.11, Training accuracy:0.9148. Loss: 2.357 LR:0.000035
[Epoch 7] Validation accuracy:0.8957, Loss:0.414, f1 0.839555, score 0.858083
[Epoch 8] Train time:2.11, Training accuracy:0.9264. Loss: 2.296 LR:0.000035
[Epoch 8] Validation accuracy:0.9084, Loss:0.374, f1 0.857019, score 0.873975
Model saved.
best_acc:0.9084
[Epoch 9] Train time:2.11, Training accuracy:0.9403. Loss: 2.215 LR:0.000034
[Epoch 9] Validation accuracy:0.9107, Loss:0.367, f1 0.854381, score 0.872967
Model saved.
best_acc:0.9107
[Epoch 10] Train time:2.11, Training accuracy:0.9441. Loss: 2.180 LR:0.000033
[Epoch 10] Validation accuracy:0.9071, Loss:0.371, f1 0.851837, score 0.870074
[Epoch 11] Train time:2.11, Training accuracy:0.9507. Loss: 2.137 LR:0.000033
[Epoch 11] Validation accuracy:0.9084, Loss:0.373, f1 0.857056, score 0.873999
[Epoch 12] Train time:2.11, Training accuracy:0.9572. Loss: 2.105 LR:0.000032
[Epoch 12] Validation accuracy:0.9192, Loss:0.364, f1 0.874398, score 0.889182
Model saved.
best_acc:0.9192
