Work on GPU:  0,1
load_weight 304
Namespace(dataset='rafdb', checkpoint=None, batch_size=120, val_batch_size=32, modeltype='small', optimizer='adam', lr=4e-05, momentum=0.9, workers=2, epochs=250, gpu='0,1', head_type='enhanced_v1')
Train set size: 12271
Validation set size: 3068
GFLOPs: 13.59
GMacs: 6.79
Params: 51.35M
batch_size: 120
Total Parameters: 51.353M
[Epoch 1] Train time:2.10, Training accuracy:0.6466. Loss: 3.920 LR:0.000040
[Epoch 1] Validation accuracy:0.8510, Loss:0.560, f1 0.733794, score 0.772472
best_acc:0.851
[Epoch 2] Train time:2.08, Training accuracy:0.7938. Loss: 3.081 LR:0.000039
[Epoch 2] Validation accuracy:0.8696, Loss:0.458, f1 0.795447, score 0.819917
best_acc:0.8696
[Epoch 3] Train time:2.09, Training accuracy:0.8364. Loss: 2.827 LR:0.000038
[Epoch 3] Validation accuracy:0.8758, Loss:0.468, f1 0.814869, score 0.834976
best_acc:0.8758
[Epoch 4] Train time:2.08, Training accuracy:0.8619. Loss: 2.664 LR:0.000038
[Epoch 4] Validation accuracy:0.8924, Loss:0.411, f1 0.825715, score 0.847721
best_acc:0.8924
[Epoch 5] Train time:2.08, Training accuracy:0.8859. Loss: 2.535 LR:0.000037
[Epoch 5] Validation accuracy:0.8934, Loss:0.407, f1 0.827532, score 0.849268
best_acc:0.8934
[Epoch 6] Train time:2.08, Training accuracy:0.8989. Loss: 2.454 LR:0.000036
[Epoch 6] Validation accuracy:0.8986, Loss:0.380, f1 0.842099, score 0.860745
best_acc:0.8986
[Epoch 7] Train time:2.08, Training accuracy:0.9171. Loss: 2.358 LR:0.000035
[Epoch 7] Validation accuracy:0.8937, Loss:0.418, f1 0.839812, score 0.857595
[Epoch 8] Train time:2.08, Training accuracy:0.9257. Loss: 2.296 LR:0.000035
[Epoch 8] Validation accuracy:0.9107, Loss:0.372, f1 0.856226, score 0.874202
Model saved.
best_acc:0.9107
[Epoch 9] Train time:2.08, Training accuracy:0.9390. Loss: 2.215 LR:0.000034
[Epoch 9] Validation accuracy:0.9091, Loss:0.372, f1 0.855447, score 0.873152
[Epoch 10] Train time:2.08, Training accuracy:0.9442. Loss: 2.184 LR:0.000033
[Epoch 10] Validation accuracy:0.9107, Loss:0.379, f1 0.860021, score 0.876745
[Epoch 11] Train time:2.08, Training accuracy:0.9513. Loss: 2.135 LR:0.000033
[Epoch 11] Validation accuracy:0.9104, Loss:0.375, f1 0.860491, score 0.876961
[Epoch 12] Train time:2.08, Training accuracy:0.9574. Loss: 2.100 LR:0.000032
[Epoch 12] Validation accuracy:0.9192, Loss:0.359, f1 0.871468, score 0.887220
Model saved.
best_acc:0.9192
[Epoch 13] Train time:2.08, Training accuracy:0.9579. Loss: 2.080 LR:0.000031
[Epoch 13] Validation accuracy:0.9149, Loss:0.345, f1 0.862833, score 0.880015
[Epoch 14] Train time:2.08, Training accuracy:0.9651. Loss: 2.038 LR:0.000031
[Epoch 14] Validation accuracy:0.9175, Loss:0.354, f1 0.864137, score 0.881747
[Epoch 15] Train time:2.08, Training accuracy:0.9664. Loss: 2.030 LR:0.000030
[Epoch 15] Validation accuracy:0.9140, Loss:0.366, f1 0.864252, score 0.880669
[Epoch 16] Train time:2.08, Training accuracy:0.9687. Loss: 2.010 LR:0.000030
[Epoch 16] Validation accuracy:0.9100, Loss:0.368, f1 0.860430, score 0.876788
[Epoch 17] Train time:2.08, Training accuracy:0.9712. Loss: 1.997 LR:0.000029
[Epoch 17] Validation accuracy:0.9110, Loss:0.369, f1 0.862102, score 0.878238
[Epoch 18] Train time:2.08, Training accuracy:0.9692. Loss: 1.992 LR:0.000028
[Epoch 18] Validation accuracy:0.9153, Loss:0.361, f1 0.864986, score 0.881590
[Epoch 19] Train time:2.08, Training accuracy:0.9739. Loss: 1.967 LR:0.000028
[Epoch 19] Validation accuracy:0.9162, Loss:0.355, f1 0.864488, score 0.881553
[Epoch 20] Train time:2.08, Training accuracy:0.9756. Loss: 1.963 LR:0.000027
[Epoch 20] Validation accuracy:0.9149, Loss:0.355, f1 0.865359, score 0.881707
[Epoch 21] Train time:2.08, Training accuracy:0.9778. Loss: 1.948 LR:0.000027
[Epoch 21] Validation accuracy:0.9123, Loss:0.352, f1 0.858928, score 0.876541
[Epoch 22] Train time:2.08, Training accuracy:0.9781. Loss: 1.932 LR:0.000026
[Epoch 22] Validation accuracy:0.9175, Loss:0.345, f1 0.867425, score 0.883950
[Epoch 23] Train time:2.08, Training accuracy:0.9747. Loss: 1.948 LR:0.000026
[Epoch 23] Validation accuracy:0.9117, Loss:0.364, f1 0.862725, score 0.878886
[Epoch 24] Train time:2.08, Training accuracy:0.9741. Loss: 1.951 LR:0.000025
[Epoch 24] Validation accuracy:0.9100, Loss:0.372, f1 0.862095, score 0.877904
[Epoch 25] Train time:2.08, Training accuracy:0.9801. Loss: 1.918 LR:0.000025
[Epoch 25] Validation accuracy:0.9130, Loss:0.353, f1 0.856734, score 0.875302
[Epoch 26] Train time:2.08, Training accuracy:0.9808. Loss: 1.913 LR:0.000024
[Epoch 26] Validation accuracy:0.9192, Loss:0.352, f1 0.869809, score 0.886108
[Epoch 27] Train time:2.08, Training accuracy:0.9794. Loss: 1.913 LR:0.000024
[Epoch 27] Validation accuracy:0.9140, Loss:0.366, f1 0.866898, score 0.882442
